fighter,event_date,opp_elo_mean,opp_elo_mean_wins,opp_elo_mean_losses,wins_vs_top,losses_vs_top,losses_vs_bottom,bad_loss_ratio
Aiemann Zahabi,2024-03-02,1500.14072802185,1500.211092032775,1500.0,0,0,0,0.0
Aiemann Zahabi,2024-11-02,1506.2550270699244,1508.757037897894,1500.0,0,0,0,0.0
Aiemann Zahabi,2025-05-10,1509.9314647643325,1513.24195301911,1500.0,0,0,0,0.0
Aiemann Zahabi,2025-10-18,1515.7232695131327,1520.2156322311707,1500.0,0,0,0,0.0
Aiemann Zahabi,2026-06-14,1521.3202477289678,1526.6503096612098,1500.0,0,0,0,0.0
Ailin Perez,2022-09-03,,,,0,0,0,0.0
Ailin Perez,2023-07-15,1520.3374460803245,,1520.3374460803245,0,0,0,0.0
Ailin Perez,2023-11-18,1504.8742491564485,1489.4110522325727,1520.3374460803245,0,0,0,0.0
Ailin Perez,2024-06-01,1499.6731672133064,1489.3410277797973,1520.3374460803245,0,0,0,0.0
Ailin Perez,2024-09-28,1504.2864111829895,1498.936066217211,1520.3374460803245,0,0,0,0.0
Ailin Perez,2025-01-18,1503.4291289463915,1499.2020496629082,1520.3374460803245,0,0,0,0.0
Ailin Perez,2026-02-28,1508.550579744873,1506.1932064777825,1520.3374460803245,0,0,0,0.0
Aisling Daly,2014-12-12,,,,0,0,0,0.0
Aisling Daly,2015-04-25,1500.0,1500.0,,0,0,0,0.0
Aisling Daly,2015-10-24,1500.0,1500.0,1500.0,0,0,0,0.0
Akbarh Arreola,2014-07-26,,,,0,0,0,0.0
Akbarh Arreola,2014-11-22,1500.0,,1500.0,0,0,0,0.0
Akbarh Arreola,2015-03-21,1506.468219240518,1512.936438481036,1500.0,0,0,0,0.0
Akbarh Arreola,2015-11-14,1510.4005186046168,1512.936438481036,1509.1325586664072,0,0,0,0.0
Akihiro Gono,2007-11-17,,,,0,0,0,0.0
Akihiro Gono,2008-10-18,1500.0,1500.0,,0,0,0,0.0
Akihiro Gono,2009-01-31,1500.0,1500.0,1500.0,0,0,0,0.0
Akira Corassani,2012-09-29,,,,0,0,0,0.0
Akira Corassani,2013-04-06,1500.0,1500.0,,0,0,0,0.0
Akira Corassani,2013-11-30,1507.4383257825182,1507.4383257825182,,0,0,0,0.0
Akira Corassani,2014-04-16,1500.8659017336024,1500.8659017336024,,0,0,0,0.0
Akira Corassani,2014-10-04,1514.2917895876012,1500.8659017336024,1554.5694531495972,0,0,0,0.0
Akira Corassani,2015-01-24,1516.4818094188263,1500.8659017336024,1539.9056709466618,0,0,0,0.0
